company_name,business_type,address,city,phone,email,website,gmb_url,rating,review_count,years_in_business,employee_count,categories,facebook,instagram,linkedin,recent_reviews,growth_signals,tech_stack,place_id
"CertaPro Painters of Minnetonka, MN",Painter,,Plymouth,,,,"https://www.google.com/maps/search/?api=1&query=CertaPro+Painters+of+Minnetonka,+MN+Plymouth+MN",4.9,156,,,,,,,156 reviews,,,"CertaPro Painters of Minnetonka, MN"
Decorator's Service Co,Painter,"14140 23rd Ave N, Plymouth, MN 55447",Plymouth,+1763-383-2955,,http://www.decoratorsserviceco.com/,https://www.google.com/maps/search/?api=1&query=Decorator's+Service+Co+Plymouth+MN,5,4,,,Painter,,,,4 reviews,,,ChIJqSlmJjZKs1IRhzkSSnAJvGg
Prime Painting Concepts,Painter,"14615 7th Ave N, Plymouth, MN 55447",Plymouth,+1612-702-4257,,http://primepaintingconcepts.com/,https://www.google.com/maps/search/?api=1&query=Prime+Painting+Concepts+Plymouth+MN,5,28,,,Painter,,,,28 reviews,,,ChIJG9WG7KpLs1IRf2OkcuOxLbQ
"CertaPro Painters of Minnetonka, MN",Painter,"700 Twelve Oaks Center Dr #162, Wayzata, MN 55391",Plymouth,+1952-994-4443,,https://certapro.com/minnetonka/?utm_source=google&utm_medium=organic&utm_campaign=gbp,"https://www.google.com/maps/search/?api=1&query=CertaPro+Painters+of+Minnetonka,+MN+Plymouth+MN",4.9,156,,,Painter,https://www.facebook.com/CertaPro-Painters-of-Minnetonka-149461462555600/,,,156 reviews,hiring,,ChIJBxkmftcd9ocRf2SAnChVC2I
Cesar's Painting,Painter,,Plymouth,+1651-650-4747,ClosedEmailinfo@cesarspaintingllc.com,https://www.cesarspaintingllc.com/,https://www.google.com/maps/search/?api=1&query=Cesar's+Painting+Plymouth+MN,4.9,82,15,,Painter,https://www.facebook.com/p/Cesars-Painting-LLC-100069190818120/,,,82 reviews,,,ChIJAQC0HDUys1IRxpv6UN_nx0I
Admire The Hue Painting,Painter,"4124 Quebec Ave N #109, New Hope, MN 55427",Plymouth,+1763-342-9290,,https://www.admirethehue.com/,https://www.google.com/maps/search/?api=1&query=Admire+The+Hue+Painting+Plymouth+MN,4.8,57,,,Painter,https://www.facebook.com/admirethehuepainting/,https://www.instagram.com/admirethehuepainting/,,57 reviews,hiring,,ChIJhQy5tngjs1IRI5Lq8tNmg4U
That 1 Painter Twin Cities,Painter,"1405 Lilac Dr N #160A, Golden Valley, MN 55422",Plymouth,+1763-280-3736,,https://that1painter.com/twin-cities/,https://www.google.com/maps/search/?api=1&query=That+1+Painter+Twin+Cities+Plymouth+MN,4.8,111,,,Painter,https://www.facebook.com/That1PainterTwinCities/,https://www.instagram.com/that1painter/,https://www.linkedin.com/company/that-1-painter/,111 reviews,hiring,,ChIJ-7zXlTSsGkwRn60aFc5cQxg
Painting & Epoxy Express,Painter,"3140 Harbor Ln N, Plymouth, MN 55447",Plymouth,+1888-968-6556,,https://paintingepoxy.com/plymouth-mn/,https://www.google.com/maps/search/?api=1&query=Painting+&+Epoxy+Express+Plymouth+MN,5,1,,,Painter,,,,1 reviews,,,ChIJLwanrCtLs1IR52ZmMM-KwXw
Paris Painting,Painter,"3515 48th Ave N, Brooklyn Center, MN 55429",Plymouth,+1763-515-4463,,https://paris-painting.com/,https://www.google.com/maps/search/?api=1&query=Paris+Painting+Plymouth+MN,4.8,812,,,Painter,,,,812 reviews,,,ChIJV6YyW3sxs1IRhuBp8z1KwbU
Get Fresh Paint,Painter,"14960 75th Ave N, Maple Grove, MN 55311",Plymouth,+1612-325-1409,,https://getfreshpaint.biz/?utm_source=GMBlisting&utm_medium=organic,https://www.google.com/maps/search/?api=1&query=Get+Fresh+Paint+Plymouth+MN,4.9,108,,,Painter,https://www.facebook.com/Get-Fresh-Paint-110400955688698/,,,108 reviews,,,ChIJ-yDMy3tIs1IR6t2Jc_lr9Do
